iter	Passed	Remaining
311	1638	3612
312	1652	3626
313	1657	3620
314	1667	3626
315	1673	3622
316	1681	3623
317	1685	3615
318	1691	3609
319	1698	3608
320	1701	3599
321	1711	3604
322	1720	3606
323	1723	3595
324	1725	3584
325	1728	3573
326	1730	3561
327	1741	3568
328	1744	3558
329	1750	3553
330	1753	3543
331	1755	3533
332	1757	3521
333	1759	3509
334	1767	3509
335	1772	3503
336	1774	3492
337	1784	3494
338	1786	3484
339	1788	3472
340	1791	3461
341	1801	3466
342	1810	3466
343	1812	3455
344	1814	3445
345	1817	3434
346	1819	3423
347	1821	3411
348	1833	3419
349	1835	3408
350	1837	3396
351	1846	3399
352	1848	3388
353	1850	3377
354	1854	3369
355	1862	3368
356	1874	3375
357	1877	3366
358	1879	3356
359	1882	3346
360	1890	3346
361	1896	3341
362	1905	3343
363	1907	3333
364	1909	3322
365	1912	3312
366	1917	3308
367	1925	3306
368	1927	3296
369	1935	3296
370	1938	3285
371	1940	3275
372	1942	3264
373	1945	3257
374	1953	3255
375	1960	3253
376	1963	3244
377	1965	3234
378	1967	3224
379	1970	3214
380	1972	3204
381	1981	3206
382	1984	3196
383	1987	3187
384	1990	3179
385	1999	3180
386	2002	3171
387	2011	3173
388	2014	3164
389	2021	3161
390	2024	3153
391	2026	3143
392	2029	3134
393	2031	3124
394	2035	3117
395	2044	3117
396	2051	3116
397	2054	3107
398	2056	3098
399	2058	3088
400	2062	3081
401	2068	3076
402	2071	3069
403	2074	3060
404	2077	3052
405	2083	3048
406	2085	3039
407	2087	3029
408	2090	3020
409	2097	3018
410	2107	3020
411	2109	3010
412	2111	3001
413	2113	2992
414	2116	2982
415	2118	2973
416	2120	2964
417	2127	2962
418	2130	2953
419	2132	2945
420	2142	2946
